timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
18000792,1785.470,2017.059,50000.000,687.294,2973.294,49999.000
18050793,1374.588,1277.470,50000.000,582.706,2017.059,50000.000
18100770,1210.235,-209.176,50000.000,1307.353,1875.118,50000.000
18150779,1837.765,-2039.470,50000.000,1673.412,1449.294,50000.000
18200786,978.647,-2540.000,50000.000,1897.529,784.412,50000.000
18250771,881.529,-1359.647,50000.000,1240.118,709.706,50000.000
18300766,709.706,201.706,50000.000,328.706,1128.059,50000.000
18350746,351.118,522.941,50000.000,156.882,254.000,50000.000
18400762,156.882,0.000,50000.000,403.412,-261.471,50001.000
18450704,552.823,-186.765,50000.000,635.000,403.412,49999.000
18500779,948.765,246.529,50000.000,694.765,1725.706,50001.000
18550773,1128.059,567.765,50000.000,463.176,1740.647,49999.000
18600786,418.353,-104.588,50000.000,635.000,-672.353,50000.000
18650758,149.412,-679.823,50000.000,1053.353,-1045.882,50001.000
18700795,1090.706,-283.882,50000.000,1053.353,381.000,49999.000
18750780,1105.647,22.412,50000.000,1143.000,246.529,50000.000
18800755,993.588,-298.824,50000.000,1441.823,-582.706,50000.000
18850768,1367.118,-463.176,50000.000,1688.353,-343.647,50000.000
18900779,1531.470,-201.706,50000.000,1718.235,-74.706,50000.000
18950759,1591.235,-37.353,50000.000,1718.235,-186.765,50001.000
19000785,1441.823,-268.941,50000.000,1845.235,-590.176,50000.000
19050783,1494.118,-351.118,50000.000,1994.647,-246.529,49999.000
19100792,1695.823,-127.000,50000.000,1882.588,-179.294,50000.000
19150783,1524.000,134.471,50000.000,1755.588,-149.412,50000.000
19200768,1822.823,97.118,50000.000,1770.529,381.000,50000.000
19250760,1628.588,-29.882,50000.000,1718.235,171.824,50000.000
19300769,1344.706,-97.118,50000.000,1688.353,-112.059,50000.000
19350759,1486.647,22.412,50000.000,1516.529,119.529,50000.000
19400764,1262.529,164.353,50000.000,1322.294,112.059,50000.000
19450769,1075.765,-22.412,50000.000,1232.647,-44.824,50000.000
19500755,978.647,0.000,50000.000,1001.059,52.294,50001.000
19550700,747.059,-37.353,50000.000,814.294,29.882,50000.000
19600748,381.000,-22.412,50000.000,605.118,-179.294,49999.000
19650770,209.176,-7.471,50000.000,336.176,-119.529,50000.000
19700739,52.294,82.176,50000.000,0.000,156.882,50000.000
19750686,-216.647,485.588,50000.000,-545.353,597.647,50000.000
19800767,-724.647,388.471,50000.000,-1105.647,37.353,50000.000
19850756,-1426.882,-37.353,50000.000,-1195.294,-814.294,50000.000
19900781,-1307.353,-209.176,50000.000,-1284.941,-291.353,50000.000
19950779,-1180.353,-44.824,50000.000,-1494.118,186.765,50000.000
20000767,-1479.176,7.471,50000.000,-1591.235,-239.059,50000.000
20050751,-1434.353,0.000,50000.000,-1516.529,-313.765,50001.000
20100723,-1277.470,14.941,50000.000,-1516.529,-171.824,50000.000
20150776,-1299.882,7.471,50000.000,-1426.882,-209.176,49999.000
20200775,-1247.588,-44.824,50000.000,-1329.765,-209.176,50000.000
20250775,-1135.529,-7.471,50000.000,-1307.353,-171.824,50000.000
20300754,-1016.000,89.647,50000.000,-1195.294,-97.118,50000.000
20350763,-948.765,22.412,50000.000,-1023.471,-164.353,50000.000
